"","CosteEmocional","RiesgoIngreso","testApgar5","partoInstrumental","testCoombsIsoRHHijo","Terapia1","Utility"
"2",0,0,0,0,0,1,0.72735
"6",0,0,0,0,1,1,0.72735
"10",0,0,0,1,0,1,0.72735
"14",0,0,0,1,1,1,0.72735
"18",0,0,1,0,0,1,0.72735
"22",0,0,1,0,1,1,0.72735
"26",0,0,1,1,0,1,0.72735
"30",0,0,1,1,1,1,0.72735
"34",0,0,2,0,0,1,0.72735
"38",0,0,2,0,1,1,0.72735
"42",0,0,2,1,0,1,0.72735
"46",0,0,2,1,1,1,0.72735
"49",0,1,0,0,0,0,0.6608734
"53",0,1,0,0,1,0,0.6608734
"57",0,1,0,1,0,0,0.6608734
"61",0,1,0,1,1,0,0.6608734
"65",0,1,1,0,0,0,0.6608734
"69",0,1,1,0,1,0,0.6608734
"73",0,1,1,1,0,0,0.6608734
"77",0,1,1,1,1,0,0.6608734
"81",0,1,2,0,0,0,0.6608734
"85",0,1,2,0,1,0,0.6608734
"89",0,1,2,1,0,0,0.6608734
"93",0,1,2,1,1,0,0.6608734
"99",0,2,0,0,0,2,0.6175699
"103",0,2,0,0,1,2,0.6175699
"107",0,2,0,1,0,2,0.6175699
"111",0,2,0,1,1,2,0.6175699
"115",0,2,1,0,0,2,0.6175699
"119",0,2,1,0,1,2,0.6175699
"123",0,2,1,1,0,2,0.6175699
"127",0,2,1,1,1,2,0.6175699
"131",0,2,2,0,0,2,0.6175699
"135",0,2,2,0,1,2,0.6175699
"139",0,2,2,1,0,2,0.6175699
"143",0,2,2,1,1,2,0.6175699
"147",0,3,0,0,0,2,0.7232939
"151",0,3,0,0,1,2,0.7232939
"155",0,3,0,1,0,2,0.7232939
"159",0,3,0,1,1,2,0.7232939
"163",0,3,1,0,0,2,0.7232939
"167",0,3,1,0,1,2,0.7232939
"171",0,3,1,1,0,2,0.7232939
"175",0,3,1,1,1,2,0.7232939
"179",0,3,2,0,0,2,0.7232939
"183",0,3,2,0,1,2,0.7232939
"187",0,3,2,1,0,2,0.7232939
"191",0,3,2,1,1,2,0.7232939
"194",1,0,0,0,0,1,0.7456413
"198",1,0,0,0,1,1,0.7456413
"202",1,0,0,1,0,1,0.7456413
"206",1,0,0,1,1,1,0.7456413
"210",1,0,1,0,0,1,0.7456413
"214",1,0,1,0,1,1,0.7456413
"218",1,0,1,1,0,1,0.7456413
"222",1,0,1,1,1,1,0.7456413
"226",1,0,2,0,0,1,0.7456413
"230",1,0,2,0,1,1,0.7456413
"234",1,0,2,1,0,1,0.7456413
"238",1,0,2,1,1,1,0.7456413
"244",1,1,0,0,0,3,0.7757588
"248",1,1,0,0,1,3,0.7757588
"252",1,1,0,1,0,3,0.7757588
"256",1,1,0,1,1,3,0.7757588
"260",1,1,1,0,0,3,0.7757588
"264",1,1,1,0,1,3,0.7757588
"268",1,1,1,1,0,3,0.7757588
"272",1,1,1,1,1,3,0.7757588
"276",1,1,2,0,0,3,0.7757588
"280",1,1,2,0,1,3,0.7757588
"284",1,1,2,1,0,3,0.7757588
"288",1,1,2,1,1,3,0.7757588
"290",1,2,0,0,0,1,0.7941662
"294",1,2,0,0,1,1,0.7941662
"298",1,2,0,1,0,1,0.7941662
"302",1,2,0,1,1,1,0.7941662
"306",1,2,1,0,0,1,0.7941662
"310",1,2,1,0,1,1,0.7941662
"314",1,2,1,1,0,1,0.7941662
"318",1,2,1,1,1,1,0.7941662
"322",1,2,2,0,0,1,0.7941662
"326",1,2,2,0,1,1,0.7941662
"330",1,2,2,1,0,1,0.7941662
"334",1,2,2,1,1,1,0.7941662
"338",1,3,0,0,0,1,0.6528112
"342",1,3,0,0,1,1,0.6528112
"346",1,3,0,1,0,1,0.6528112
"350",1,3,0,1,1,1,0.6528112
"354",1,3,1,0,0,1,0.6528112
"358",1,3,1,0,1,1,0.6528112
"362",1,3,1,1,0,1,0.6528112
"366",1,3,1,1,1,1,0.6528112
"370",1,3,2,0,0,1,0.6528112
"374",1,3,2,0,1,1,0.6528112
"378",1,3,2,1,0,1,0.6528112
"382",1,3,2,1,1,1,0.6528112
"385",2,0,0,0,0,0,0.6000101
"389",2,0,0,0,1,0,0.6000101
"393",2,0,0,1,0,0,0.6000101
"397",2,0,0,1,1,0,0.6000101
"401",2,0,1,0,0,0,0.6000101
"405",2,0,1,0,1,0,0.6000101
"409",2,0,1,1,0,0,0.6000101
"413",2,0,1,1,1,0,0.6000101
"417",2,0,2,0,0,0,0.6000101
"421",2,0,2,0,1,0,0.6000101
"425",2,0,2,1,0,0,0.6000101
"429",2,0,2,1,1,0,0.6000101
"434",2,1,0,0,0,1,0.6498085
"438",2,1,0,0,1,1,0.6498085
"442",2,1,0,1,0,1,0.6498085
"446",2,1,0,1,1,1,0.6498085
"450",2,1,1,0,0,1,0.6498085
"454",2,1,1,0,1,1,0.6498085
"458",2,1,1,1,0,1,0.6498085
"462",2,1,1,1,1,1,0.6498085
"466",2,1,2,0,0,1,0.6498085
"470",2,1,2,0,1,1,0.6498085
"474",2,1,2,1,0,1,0.6498085
"478",2,1,2,1,1,1,0.6498085
"481",2,2,0,0,0,0,0.7942265
"485",2,2,0,0,1,0,0.7942265
"489",2,2,0,1,0,0,0.7942265
"493",2,2,0,1,1,0,0.7942265
"497",2,2,1,0,0,0,0.7942265
"501",2,2,1,0,1,0,0.7942265
"505",2,2,1,1,0,0,0.7942265
"509",2,2,1,1,1,0,0.7942265
"513",2,2,2,0,0,0,0.7942265
"517",2,2,2,0,1,0,0.7942265
"521",2,2,2,1,0,0,0.7942265
"525",2,2,2,1,1,0,0.7942265
"531",2,3,0,0,0,2,0.7691905
"535",2,3,0,0,1,2,0.7691905
"539",2,3,0,1,0,2,0.7691905
"543",2,3,0,1,1,2,0.7691905
"547",2,3,1,0,0,2,0.7691905
"551",2,3,1,0,1,2,0.7691905
"555",2,3,1,1,0,2,0.7691905
"559",2,3,1,1,1,2,0.7691905
"563",2,3,2,0,0,2,0.7691905
"567",2,3,2,0,1,2,0.7691905
"571",2,3,2,1,0,2,0.7691905
"575",2,3,2,1,1,2,0.7691905
"578",0,0,0,0,0,1,0.8141525
"582",0,0,0,0,1,1,0.8141525
"586",0,0,0,1,0,1,0.8141525
"590",0,0,0,1,1,1,0.8141525
"594",0,0,1,0,0,1,0.8141525
"598",0,0,1,0,1,1,0.8141525
"602",0,0,1,1,0,1,0.8141525
"606",0,0,1,1,1,1,0.8141525
"610",0,0,2,0,0,1,0.8141525
"614",0,0,2,0,1,1,0.8141525
"618",0,0,2,1,0,1,0.8141525
"622",0,0,2,1,1,1,0.8141525
"625",0,1,0,0,0,0,0.803842
"629",0,1,0,0,1,0,0.803842
"633",0,1,0,1,0,0,0.803842
"637",0,1,0,1,1,0,0.803842
"641",0,1,1,0,0,0,0.803842
"645",0,1,1,0,1,0,0.803842
"649",0,1,1,1,0,0,0.803842
"653",0,1,1,1,1,0,0.803842
"657",0,1,2,0,0,0,0.803842
"661",0,1,2,0,1,0,0.803842
"665",0,1,2,1,0,0,0.803842
"669",0,1,2,1,1,0,0.803842
"675",0,2,0,0,0,2,0.792801
"679",0,2,0,0,1,2,0.792801
"683",0,2,0,1,0,2,0.792801
"687",0,2,0,1,1,2,0.792801
"691",0,2,1,0,0,2,0.792801
"695",0,2,1,0,1,2,0.792801
"699",0,2,1,1,0,2,0.792801
"703",0,2,1,1,1,2,0.792801
"707",0,2,2,0,0,2,0.792801
"711",0,2,2,0,1,2,0.792801
"715",0,2,2,1,0,2,0.792801
"719",0,2,2,1,1,2,0.792801
"722",0,3,0,0,0,1,0.7883883
"726",0,3,0,0,1,1,0.7883883
"730",0,3,0,1,0,1,0.7883883
"734",0,3,0,1,1,1,0.7883883
"738",0,3,1,0,0,1,0.7883883
"742",0,3,1,0,1,1,0.7883883
"746",0,3,1,1,0,1,0.7883883
"750",0,3,1,1,1,1,0.7883883
"754",0,3,2,0,0,1,0.7883883
"758",0,3,2,0,1,1,0.7883883
"762",0,3,2,1,0,1,0.7883883
"766",0,3,2,1,1,1,0.7883883
"771",1,0,0,0,0,2,0.6536476
"775",1,0,0,0,1,2,0.6536476
"779",1,0,0,1,0,2,0.6536476
"783",1,0,0,1,1,2,0.6536476
"787",1,0,1,0,0,2,0.6536476
"791",1,0,1,0,1,2,0.6536476
"795",1,0,1,1,0,2,0.6536476
"799",1,0,1,1,1,2,0.6536476
"803",1,0,2,0,0,2,0.6536476
"807",1,0,2,0,1,2,0.6536476
"811",1,0,2,1,0,2,0.6536476
"815",1,0,2,1,1,2,0.6536476
"817",1,1,0,0,0,0,0.6023576
"821",1,1,0,0,1,0,0.6023576
"825",1,1,0,1,0,0,0.6023576
"829",1,1,0,1,1,0,0.6023576
"833",1,1,1,0,0,0,0.6023576
"837",1,1,1,0,1,0,0.6023576
"841",1,1,1,1,0,0,0.6023576
"845",1,1,1,1,1,0,0.6023576
"849",1,1,2,0,0,0,0.6023576
"853",1,1,2,0,1,0,0.6023576
"857",1,1,2,1,0,0,0.6023576
"861",1,1,2,1,1,0,0.6023576
"868",1,2,0,0,0,3,0.6120786
"872",1,2,0,0,1,3,0.6120786
"876",1,2,0,1,0,3,0.6120786
"880",1,2,0,1,1,3,0.6120786
"884",1,2,1,0,0,3,0.6120786
"888",1,2,1,0,1,3,0.6120786
"892",1,2,1,1,0,3,0.6120786
"896",1,2,1,1,1,3,0.6120786
"900",1,2,2,0,0,3,0.6120786
"904",1,2,2,0,1,3,0.6120786
"908",1,2,2,1,0,3,0.6120786
"912",1,2,2,1,1,3,0.6120786
"916",1,3,0,0,0,3,0.6538663
"920",1,3,0,0,1,3,0.6538663
"924",1,3,0,1,0,3,0.6538663
"928",1,3,0,1,1,3,0.6538663
"932",1,3,1,0,0,3,0.6538663
"936",1,3,1,0,1,3,0.6538663
"940",1,3,1,1,0,3,0.6538663
"944",1,3,1,1,1,3,0.6538663
"948",1,3,2,0,0,3,0.6538663
"952",1,3,2,0,1,3,0.6538663
"956",1,3,2,1,0,3,0.6538663
"960",1,3,2,1,1,3,0.6538663
"962",2,0,0,0,0,1,0.7636659
"966",2,0,0,0,1,1,0.7636659
"970",2,0,0,1,0,1,0.7636659
"974",2,0,0,1,1,1,0.7636659
"978",2,0,1,0,0,1,0.7636659
"982",2,0,1,0,1,1,0.7636659
"986",2,0,1,1,0,1,0.7636659
"990",2,0,1,1,1,1,0.7636659
"994",2,0,2,0,0,1,0.7636659
"998",2,0,2,0,1,1,0.7636659
"1002",2,0,2,1,0,1,0.7636659
"1006",2,0,2,1,1,1,0.7636659
"1012",2,1,0,0,0,3,0.6578287
"1016",2,1,0,0,1,3,0.6578287
"1020",2,1,0,1,0,3,0.6578287
"1024",2,1,0,1,1,3,0.6578287
"1028",2,1,1,0,0,3,0.6578287
"1032",2,1,1,0,1,3,0.6578287
"1036",2,1,1,1,0,3,0.6578287
"1040",2,1,1,1,1,3,0.6578287
"1044",2,1,2,0,0,3,0.6578287
"1048",2,1,2,0,1,3,0.6578287
"1052",2,1,2,1,0,3,0.6578287
"1056",2,1,2,1,1,3,0.6578287
"1058",2,2,0,0,0,1,0.7353631
"1062",2,2,0,0,1,1,0.7353631
"1066",2,2,0,1,0,1,0.7353631
"1070",2,2,0,1,1,1,0.7353631
"1074",2,2,1,0,0,1,0.7353631
"1078",2,2,1,0,1,1,0.7353631
"1082",2,2,1,1,0,1,0.7353631
"1086",2,2,1,1,1,1,0.7353631
"1090",2,2,2,0,0,1,0.7353631
"1094",2,2,2,0,1,1,0.7353631
"1098",2,2,2,1,0,1,0.7353631
"1102",2,2,2,1,1,1,0.7353631
"1107",2,3,0,0,0,2,0.7506792
"1111",2,3,0,0,1,2,0.7506792
"1115",2,3,0,1,0,2,0.7506792
"1119",2,3,0,1,1,2,0.7506792
"1123",2,3,1,0,0,2,0.7506792
"1127",2,3,1,0,1,2,0.7506792
"1131",2,3,1,1,0,2,0.7506792
"1135",2,3,1,1,1,2,0.7506792
"1139",2,3,2,0,0,2,0.7506792
"1143",2,3,2,0,1,2,0.7506792
"1147",2,3,2,1,0,2,0.7506792
"1151",2,3,2,1,1,2,0.7506792
"1154",0,0,0,0,0,1,0.6818058
"1158",0,0,0,0,1,1,0.6818058
"1162",0,0,0,1,0,1,0.6818058
"1166",0,0,0,1,1,1,0.6818058
"1170",0,0,1,0,0,1,0.6818058
"1174",0,0,1,0,1,1,0.6818058
"1178",0,0,1,1,0,1,0.6818058
"1182",0,0,1,1,1,1,0.6818058
"1186",0,0,2,0,0,1,0.6818058
"1190",0,0,2,0,1,1,0.6818058
"1194",0,0,2,1,0,1,0.6818058
"1198",0,0,2,1,1,1,0.6818058
"1204",0,1,0,0,0,3,0.609379
"1208",0,1,0,0,1,3,0.609379
"1212",0,1,0,1,0,3,0.609379
"1216",0,1,0,1,1,3,0.609379
"1220",0,1,1,0,0,3,0.609379
"1224",0,1,1,0,1,3,0.609379
"1228",0,1,1,1,0,3,0.609379
"1232",0,1,1,1,1,3,0.609379
"1236",0,1,2,0,0,3,0.609379
"1240",0,1,2,0,1,3,0.609379
"1244",0,1,2,1,0,3,0.609379
"1248",0,1,2,1,1,3,0.609379
"1249",0,2,0,0,0,0,0.7009115
"1253",0,2,0,0,1,0,0.7009115
"1257",0,2,0,1,0,0,0.7009115
"1261",0,2,0,1,1,0,0.7009115
"1265",0,2,1,0,0,0,0.7009115
"1269",0,2,1,0,1,0,0.7009115
"1273",0,2,1,1,0,0,0.7009115
"1277",0,2,1,1,1,0,0.7009115
"1281",0,2,2,0,0,0,0.7009115
"1285",0,2,2,0,1,0,0.7009115
"1289",0,2,2,1,0,0,0.7009115
"1293",0,2,2,1,1,0,0.7009115
"1299",0,3,0,0,0,2,0.6243724
"1303",0,3,0,0,1,2,0.6243724
"1307",0,3,0,1,0,2,0.6243724
"1311",0,3,0,1,1,2,0.6243724
"1315",0,3,1,0,0,2,0.6243724
"1319",0,3,1,0,1,2,0.6243724
"1323",0,3,1,1,0,2,0.6243724
"1327",0,3,1,1,1,2,0.6243724
"1331",0,3,2,0,0,2,0.6243724
"1335",0,3,2,0,1,2,0.6243724
"1339",0,3,2,1,0,2,0.6243724
"1343",0,3,2,1,1,2,0.6243724
"1345",1,0,0,0,0,0,0.7110632
"1349",1,0,0,0,1,0,0.7110632
"1353",1,0,0,1,0,0,0.7110632
"1357",1,0,0,1,1,0,0.7110632
"1361",1,0,1,0,0,0,0.7110632
"1365",1,0,1,0,1,0,0.7110632
"1369",1,0,1,1,0,0,0.7110632
"1373",1,0,1,1,1,0,0.7110632
"1377",1,0,2,0,0,0,0.7110632
"1381",1,0,2,0,1,0,0.7110632
"1385",1,0,2,1,0,0,0.7110632
"1389",1,0,2,1,1,0,0.7110632
"1395",1,1,0,0,0,2,0.6029497
"1399",1,1,0,0,1,2,0.6029497
"1403",1,1,0,1,0,2,0.6029497
"1407",1,1,0,1,1,2,0.6029497
"1411",1,1,1,0,0,2,0.6029497
"1415",1,1,1,0,1,2,0.6029497
"1419",1,1,1,1,0,2,0.6029497
"1423",1,1,1,1,1,2,0.6029497
"1427",1,1,2,0,0,2,0.6029497
"1431",1,1,2,0,1,2,0.6029497
"1435",1,1,2,1,0,2,0.6029497
"1439",1,1,2,1,1,2,0.6029497
"1442",1,2,0,0,0,1,0.7437677
"1446",1,2,0,0,1,1,0.7437677
"1450",1,2,0,1,0,1,0.7437677
"1454",1,2,0,1,1,1,0.7437677
"1458",1,2,1,0,0,1,0.7437677
"1462",1,2,1,0,1,1,0.7437677
"1466",1,2,1,1,0,1,0.7437677
"1470",1,2,1,1,1,1,0.7437677
"1474",1,2,2,0,0,1,0.7437677
"1478",1,2,2,0,1,1,0.7437677
"1482",1,2,2,1,0,1,0.7437677
"1486",1,2,2,1,1,1,0.7437677
"1490",1,3,0,0,0,1,0.7318169
"1494",1,3,0,0,1,1,0.7318169
"1498",1,3,0,1,0,1,0.7318169
"1502",1,3,0,1,1,1,0.7318169
"1506",1,3,1,0,0,1,0.7318169
"1510",1,3,1,0,1,1,0.7318169
"1514",1,3,1,1,0,1,0.7318169
"1518",1,3,1,1,1,1,0.7318169
"1522",1,3,2,0,0,1,0.7318169
"1526",1,3,2,0,1,1,0.7318169
"1530",1,3,2,1,0,1,0.7318169
"1534",1,3,2,1,1,1,0.7318169
"1538",2,0,0,0,0,1,0.7713009
"1542",2,0,0,0,1,1,0.7713009
"1546",2,0,0,1,0,1,0.7713009
"1550",2,0,0,1,1,1,0.7713009
"1554",2,0,1,0,0,1,0.7713009
"1558",2,0,1,0,1,1,0.7713009
"1562",2,0,1,1,0,1,0.7713009
"1566",2,0,1,1,1,1,0.7713009
"1570",2,0,2,0,0,1,0.7713009
"1574",2,0,2,0,1,1,0.7713009
"1578",2,0,2,1,0,1,0.7713009
"1582",2,0,2,1,1,1,0.7713009
"1588",2,1,0,0,0,3,0.8085185
"1592",2,1,0,0,1,3,0.8085185
"1596",2,1,0,1,0,3,0.8085185
"1600",2,1,0,1,1,3,0.8085185
"1604",2,1,1,0,0,3,0.8085185
"1608",2,1,1,0,1,3,0.8085185
"1612",2,1,1,1,0,3,0.8085185
"1616",2,1,1,1,1,3,0.8085185
"1620",2,1,2,0,0,3,0.8085185
"1624",2,1,2,0,1,3,0.8085185
"1628",2,1,2,1,0,3,0.8085185
"1632",2,1,2,1,1,3,0.8085185
"1633",2,2,0,0,0,0,0.7099766
"1637",2,2,0,0,1,0,0.7099766
"1641",2,2,0,1,0,0,0.7099766
"1645",2,2,0,1,1,0,0.7099766
"1649",2,2,1,0,0,0,0.7099766
"1653",2,2,1,0,1,0,0.7099766
"1657",2,2,1,1,0,0,0.7099766
"1661",2,2,1,1,1,0,0.7099766
"1665",2,2,2,0,0,0,0.7099766
"1669",2,2,2,0,1,0,0.7099766
"1673",2,2,2,1,0,0,0.7099766
"1677",2,2,2,1,1,0,0.7099766
"1683",2,3,0,0,0,2,0.7151333
"1687",2,3,0,0,1,2,0.7151333
"1691",2,3,0,1,0,2,0.7151333
"1695",2,3,0,1,1,2,0.7151333
"1699",2,3,1,0,0,2,0.7151333
"1703",2,3,1,0,1,2,0.7151333
"1707",2,3,1,1,0,2,0.7151333
"1711",2,3,1,1,1,2,0.7151333
"1715",2,3,2,0,0,2,0.7151333
"1719",2,3,2,0,1,2,0.7151333
"1723",2,3,2,1,0,2,0.7151333
"1727",2,3,2,1,1,2,0.7151333
